year,round,pick,player,nfl url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,cfb method,nfl method
2004,7,216,Patrick Crayton,https://www.pro-football-reference.com/players/C/CrayPa00.htm,WR,25,DAL,2004,2011,0,0,1,33,105,36,6,39,0,247,3650,25,NW Oklahoma St.,https://www.sports-reference.com/cfb/players/patrick-crayton-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,32,SDG,wr,12,105,36,392,247,3650,14.8,25,176,80,2.4,34.8,63.0%,9.3,6,39,0,3,20,6.5,0.4,0.1,253,14.6,3689,25,13,38,Receiving & Rushing Table,fail (eg link broken),success from main
2004,7,244,Derek Abney,nfl link is missing,WR,,BAL,,,0,0,0,,,,,,,,,,Kentucky,https://www.sports-reference.com/cfb/players/derek-abney-1.html,Kentucky,SEC,SR,WR,46.0,197,2339,11.9,18,15,160,10.7,0,212,2499,11.8,18,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
2003,1,2,Charles Rogers,https://www.pro-football-reference.com/players/R/RogeCh01.htm,WR,22,DET,2003,2005,0,0,0,4,15,9,2,17,0,36,440,4,Michigan St.,https://www.sports-reference.com/cfb/players/charles-rogers-1.html,Michigan State,Big Ten,JR,WR,24.0,135,2821,20.9,27,10,110,11.0,1,145,2931,20.2,28,24,DET,wr,80,15,9,84,36,440,12.2,4,24,35,2.4,29.3,42.9%,5.2,2,17,0,1,12,8.5,1.1,0.1,38,12.0,457,4,0,4,Receiving & Rushing Table,success,success from main
2003,1,3,Andre Johnson,https://www.pro-football-reference.com/players/J/JohnAn02.htm,WR,22,HOU,2003,2016,2,7,12,95,193,187,23,54,0,1062,14185,70,Miami (FL),https://www.sports-reference.com/cfb/players/andre-johnson-1.html,Miami (FL),Big East,JR,WR,34.0,92,1831,19.9,20,2,11,5.5,0,94,1842,19.6,20,35,TEN,wr,81,193,187,1739,1062,14185,13.4,70,701,77,5.5,73.5,61.1%,8.2,23,54,0,8,18,2.3,0.3,0.1,1085,13.1,14239,70,10,125,Receiving & Rushing Table,success,success from main
2003,1,17,Bryant Johnson,https://www.pro-football-reference.com/players/J/JohnBr02.htm,WR,22,ARI,2003,2011,0,0,4,25,139,74,5,-8,0,314,3938,16,Penn St.,https://www.sports-reference.com/cfb/players/bryant-johnson-1.html,Penn State,Big Ten,SR,WR,47.0,110,2008,18.3,10,4,5,1.3,0,114,2013,17.7,10,30,HOU,,89,139,74,636,314,3938,12.5,16,203,58,2.3,28.3,49.4%,6.2,5,-8,0,0,1,-1.6,-0.1,0.0,319,12.3,3930,16,3,30,Receiving & Rushing Table,success,success from main
2003,2,44,Taylor Jacobs,https://www.pro-football-reference.com/players/J/JacoTa00.htm,WR,22,WAS,2003,2007,0,0,0,2,56,7,2,-14,0,37,384,2,Florida,https://www.sports-reference.com/cfb/players/taylor-jacobs-1.html,Florida,SEC,SR,WR,44.0,133,2097,15.8,16,10,81,8.1,1,143,2178,15.2,17,,SFO,,88,56,7,79,37,384,10.4,2,18,45,0.7,6.9,46.8%,4.9,2,-14,0,0,0,-7.0,-0.3,0.0,39,9.5,370,2,0,2,Receiving & Rushing Table,success,success from main
2003,2,45,Bethel Johnson,https://www.pro-football-reference.com/players/J/JohnBe00.htm,WR,24,NWE,2003,2006,0,0,0,8,50,9,7,4,0,39,606,4,Texas A&M,https://www.sports-reference.com/cfb/players/bethel-johnson-1.html,Texas A&M,Big 12,SR,WR,35.0,117,1740,14.9,11,8,55,6.9,1,125,1795,14.4,12,27,MIN,wr,81,50,9,6,21,0,11,3.5,147,3611,2,93,24.6,4242,8,,,,,,,,,,,,,,Kick & Punt Returns Table,success,success from main
2003,2,54,Anquan Boldin,https://www.pro-football-reference.com/players/B/BoldAn00.htm,WR,22,ARI,2003,2016,0,3,13,86,202,198,42,229,1,1076,13779,82,Florida St.,https://www.sports-reference.com/cfb/players/anquan-boldin-1.html,Florida State,ACC,SR,WR,36.0,118,1790,15.2,21,26,127,4.9,1,144,1917,13.3,22,36,DET,WR,80,202,198,1737,1076,13779,12.8,82,695,79,5.3,68.2,61.9%,7.9,42,229,1,12,30,5.5,1.1,0.2,1118,12.5,14008,83,19,118,Receiving & Rushing Table,success,success from main
2003,2,60,Tyrone Calico,https://www.pro-football-reference.com/players/C/CaliTy00.htm,WR,22,TEN,2003,2005,0,0,0,5,27,8,1,5,0,42,501,4,Middle Tenn. St.,https://www.sports-reference.com/cfb/players/tyrone-calico-1.html,Middle Tennessee State,Sun Belt,SR,WR,45.0,194,2636,13.6,17,14,55,3.9,1,208,2691,12.9,18,25,TEN,wr,87,27,8,89,42,501,11.9,4,27,45,1.6,18.6,47.2%,5.6,1,5,0,0,5,5.0,0.2,0.0,43,11.8,506,4,1,5,Receiving & Rushing Table,success,success from main
2003,3,65,Kelley Washington,https://www.pro-football-reference.com/players/W/WashKe00.htm,WR,24,CIN,2003,2010,0,0,0,13,91,8,3,5,0,120,1500,12,Tennessee,https://www.sports-reference.com/cfb/players/kelley-washington-1.html,Tennessee,SEC,SO,WR,16.0,87,1453,16.7,6,1,10,10.0,0,88,1463,16.6,6,31,SDG,,87,91,8,192,120,1500,12.5,12,87,51,1.3,16.5,62.5%,7.8,3,5,0,0,5,1.7,0.1,0.0,123,12.2,1505,12,0,14,Receiving & Rushing Table,success,success from main
2003,3,71,Nate Burleson,https://www.pro-football-reference.com/players/B/BurlNa00.htm,WR,22,MIN,2003,2013,0,0,8,46,135,103,40,257,0,457,5630,39,Nevada,https://www.sports-reference.com/cfb/players/nate-burleson-1.html,Nevada,WAC,SR,WR,33.0,248,3287,13.3,22,27,190,7.0,1,275,3477,12.6,23,32,DET,WR,13,135,103,750,457,5630,12.3,39,281,68,3.4,41.7,60.9%,7.5,40,257,0,16,25,6.4,1.9,0.3,497,11.8,5887,39,14,55,Receiving & Rushing Table,success,success from main
2003,3,74,Kevin Curtis,https://www.pro-football-reference.com/players/C/CurtKe00.htm,WR,25,STL,2003,2010,0,0,3,26,81,36,9,39,1,253,3297,20,Utah St.,https://www.sports-reference.com/cfb/players/kevin-curtis-2.html,Utah State,Ind,SR,WR,22.0,174,2789,16.0,19,9,46,5.1,1,183,2835,15.5,20,32,MIA,,17,81,36,424,253,3297,13.0,20,153,83,3.1,40.7,59.7%,7.8,9,39,1,4,15,4.3,0.5,0.1,262,12.7,3336,21,4,28,Receiving & Rushing Table,success,success from main
2003,3,95,Billy McMullen,https://www.pro-football-reference.com/players/M/McMuBi00.htm,WR,23,PHI,2003,2008,0,0,0,5,49,2,,,,52,725,3,Virginia,https://www.sports-reference.com/cfb/players/billy-mcmullen-1.html,Virginia,ACC,SR,WR,48.0,210,2978,14.2,24,7,37,5.3,1,217,3015,13.9,25,28,SEA,wr,17,49,2,118,52,725,13.9,3,32,40,1.1,14.8,44.1%,6.1,,,,,,,,,52,13.9,725,3,2,5,Receiving & Rushing Table,success,success from main
2003,4,106,Shaun McDonald,https://www.pro-football-reference.com/players/M/McDoSh00.htm,WR,22,STL,2003,2009,0,0,0,19,88,17,11,16,0,220,2490,11,Arizona St.,https://www.sports-reference.com/cfb/players/shaun-mcdonald-1.html,Arizona State,Pac-10,JR,WR,37.0,156,2867,18.4,24,14,63,4.5,1,170,2930,17.2,25,28,PIT,,,88,17,376,220,2490,11.3,11,126,52,2.5,28.3,58.5%,6.6,11,16,0,3,9,1.5,0.2,0.1,231,10.8,2506,11,13,20,Receiving & Rushing Table,success,success from main
2003,4,124,Brandon Lloyd,https://www.pro-football-reference.com/players/L/LloyBr00.htm,WR,22,SFO,2003,2014,0,1,6,41,142,91,1,-18,0,399,5989,36,Illinois,https://www.sports-reference.com/cfb/players/brandon-lloyd-1.html,Illinois,Big Ten,JR,WR,35.0,155,2527,16.3,19,12,55,4.6,0,167,2582,15.5,19,33,SFO,wr,84,142,91,831,399,5989,15.0,36,239,89,2.8,42.2,48.0%,7.2,1,-18,0,0,0,-18.0,-0.1,0.0,400,14.9,5971,36,3,48,Receiving & Rushing Table,success,success from main
