year,round,pick,player,nfl url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,cfb method,nfl method
2016,7,229,Demarcus Ayers,https://www.pro-football-reference.com/players/A/AyerDe00.htm,WR,22.0,PIT,2016.0,2016.0,0,0,0,0.0,2.0,1.0,2.0,-12.0,0.0,6.0,53.0,1.0,Houston,https://www.sports-reference.com/cfb/players/demarcus-ayers-1.html,Houston,American,JR,WR,40.0,141,1686,12.0,9,28,152,5.4,1,169,1838,10.9,10,22,PIT,wr,15,2,1,13,6,53,8.8,1,3,15,3.0,26.5,46.2%,4.1,2,-12,0,0,0,-6.0,-6.0,1.0,8,5.1,41,1,0,0,Receiving & Rushing Table,success,success from main
2016,7,230,Daniel Braverman,https://www.pro-football-reference.com/players/B/BravDa00.htm,WR,22.0,CHI,2016.0,2016.0,0,0,0,0.0,3.0,0.0,,,,,,,West. Michigan,https://www.sports-reference.com/cfb/players/daniel-braverman-1.html,Western Michigan,MAC,JR,WR,37.0,212,2499,11.8,19,12,76,6.3,2,224,2575,11.5,21,23,CHI,,83,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,Games Table,success,success from main
2016,7,238,Devin Fuller,https://www.pro-football-reference.com/players/F/FullDe00.htm,WR,22.0,ATL,,,0,0,0,,,,,,,,,,UCLA,https://www.sports-reference.com/cfb/players/devin-fuller-1.html,UCLA,Pac-12,SR,WR,44.0,146,1322,9.1,10,6,6,1.0,1,152,1328,8.7,11,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
2016,7,241,Charone Peake,https://www.pro-football-reference.com/players/P/PeakCh00.htm,WR,23.0,NYJ,2016.0,2018.0,0,0,0,1.0,31.0,1.0,,,,22.0,214.0,0.0,Clemson,https://www.sports-reference.com/cfb/players/charone-peake-1.html,Clemson,ACC,SR,WR,49.0,99,1172,11.8,10,2,-9,-4.5,0,101,1163,11.5,10,26,NYJ,,17,31,1,39,22,214,9.7,0,10,27,0.7,6.9,56.4%,5.5,,,,,,,,,22,9.7,214,0,0,1,Receiving & Rushing Table,success,success from main
2016,7,243,Kenny Lawler,https://www.pro-football-reference.com/players/L/LawlKe00.htm,WR,22.0,SEA,,,0,0,0,,,,,,,,,,California,https://www.sports-reference.com/cfb/players/kenny-lawler-1.html,California,Pac-12,JR,WR,34.0,143,1706,11.9,27,2,15,7.5,0,145,1721,11.9,27,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
2015,1,4,Amari Cooper,https://www.pro-football-reference.com/players/C/CoopAm00.htm,WR,21.0,OAK,2015.0,2019.0,0,4,5,39.0,77.0,72.0,8.0,27.0,0.0,357.0,5097.0,33.0,Alabama,https://www.sports-reference.com/cfb/players/amari-cooper-1.html,Alabama,SEC,JR,WR,39.0,228,3463,15.2,31,6,51,8.5,0,234,3514,15.0,31,25,DAL,WR,19,77,72,584,357,5097,14.3,33,236,90,4.6,66.2,61.1%,8.7,8,27,0,2,11,3.4,0.4,0.1,365,14.0,5124,33,6,43,Receiving & Rushing Table,success,success from main
2015,1,7,Kevin White,https://www.pro-football-reference.com/players/W/WhitKe00.htm,WR,23.0,CHI,2016.0,2018.0,0,0,0,2.0,14.0,5.0,1.0,9.0,0.0,25.0,285.0,0.0,West Virginia,https://www.sports-reference.com/cfb/players/kevin-white-6.html,West Virginia,Big 12,SR,WR,23.0,144,1954,13.6,15,0,0,,0,144,1954,13.6,15,26,CHI,,11,14,5,48,25,285,11.4,0,11,54,1.8,20.4,52.1%,5.9,1,9,0,0,9,9.0,0.6,0.1,26,11.3,294,0,0,2,Receiving & Rushing Table,success,success from main
2015,1,14,DeVante Parker,https://www.pro-football-reference.com/players/P/ParkDe01.htm,WR,22.0,MIA,2015.0,2019.0,0,0,3,23.0,70.0,45.0,,,,235.0,3419.0,18.0,Louisville,https://www.sports-reference.com/cfb/players/devante-parker-1.html,Louisville,ACC,SR,WR,42.0,156,2775,17.8,33,0,0,,0,156,2775,17.8,33,26,MIA,WR,11,70,45,408,235,3419,14.5,18,161,56,3.4,48.8,57.6%,8.4,,,,,,,,,235,14.5,3419,18,1,25,Receiving & Rushing Table,success,success from main
2015,1,20,Nelson Agholor,https://www.pro-football-reference.com/players/A/AghoNe00.htm,WR,22.0,PHI,2015.0,2019.0,0,0,5,21.0,71.0,62.0,11.0,60.0,0.0,224.0,2515.0,18.0,USC,https://www.sports-reference.com/cfb/players/nelson-agholor-1.html,USC,Pac-12,JR,WR,40.0,178,2572,14.4,20,7,18,2.6,0,185,2590,14.0,20,26,PHI,WR,13,71,62,374,224,2515,11.2,18,109,83,3.2,35.4,59.9%,6.7,11,60,0,5,16,5.5,0.8,0.2,235,11.0,2575,18,5,22,Receiving & Rushing Table,success,success from main
2015,1,26,Breshad Perriman,https://www.pro-football-reference.com/players/P/PerrBr02.htm,WR,21.0,BAL,2016.0,2019.0,0,0,0,11.0,51.0,10.0,7.0,20.0,0.0,95.0,1561.0,11.0,Central Florida,https://www.sports-reference.com/cfb/players/breshad-perriman-1.html,UCF,American,JR,WR,39.0,115,2243,19.5,16,1,0,0.0,0,116,2243,19.3,16,26,TAM,wr,19,51,10,195,95,1561,16.4,11,64,66,1.9,30.6,48.7%,8.0,7,20,0,1,13,2.9,0.4,0.1,102,15.5,1581,11,0,11,Receiving & Rushing Table,success,success from main
