cfbconference,cfbclass,cfbgames,cfbreceptions,cfbrecyards,cfbrecyardsperreception,cfbrectd,cfbrushattempts,cfbrushyards,cfbrushyardsperattempt,cfbrushtd,cfbscrimmages,cfbyards,cfbyardsfromscrimmage,cfbtd,combineht,combinewt,combineforty,combinevertical,combinebenchreps,combinebroadjump,combinecone,combineshuttle,yardsfirst5seasons
SEC,JR,36.0,133.0,1929.0,14.5,13.0,194.0,1852.0,9.5,19.0,327.0,3781.0,11.6,32.0,71.0,192.0,4.39,,19.0,,,,3319.0
ACC,JR,36.0,181.0,2840.0,15.7,21.0,7.0,43.0,6.1,1.0,188.0,2883.0,15.3,22.0,73.0,212.0,4.51,36.0,,,,,4622.0
Big East,JR,34.0,178.0,3043.0,17.1,17.0,7.0,75.0,10.7,1.0,185.0,3118.0,16.9,18.0,75.0,218.0,4.47,37.0,23.0,124.0,,4.47,2450.0
Big Ten,SR,51.0,127.0,1866.0,14.7,24.0,0.0,0.0,0.0,0.0,127.0,1866.0,14.7,24.0,75.0,209.0,4.46,37.5,,,6.72,4.19,485.0
SEC,SR,51.0,158.0,2282.0,14.4,16.0,2.0,35.0,17.5,0.0,160.0,2317.0,14.5,16.0,73.0,210.0,4.51,36.5,,127.0,,,1745.0
Big Ten,SR,46.0,161.0,1743.0,10.8,9.0,117.0,594.0,5.1,8.0,278.0,2337.0,8.4,17.0,71.0,194.0,4.47,33.0,15.0,,,,82.0
ACC,SR,41.0,46.0,927.0,20.2,8.0,26.0,294.0,11.3,2.0,72.0,1221.0,17.0,10.0,72.0,183.0,4.52,,,,,,649.0
SEC,SR,37.0,101.0,1910.0,18.9,15.0,11.0,94.0,8.5,0.0,112.0,2004.0,17.9,15.0,72.0,199.0,4.33,40.0,14.0,129.0,6.9,4.27,4972.0
Other,Non Declared,,,,,,,,,,,,,,78.0,229.0,4.51,33.5,17.0,118.0,,4.26,394.0
Pac-10,SR,48.0,138.0,1752.0,12.7,17.0,0.0,0.0,0.0,0.0,138.0,1752.0,12.7,17.0,77.0,223.0,4.59,,,,,,122.0
Big Ten,SR,50.0,179.0,2771.0,15.5,22.0,4.0,-3.0,-0.8,0.0,183.0,2768.0,15.1,22.0,70.0,182.0,4.31,34.5,12.0,118.0,7.01,4.48,611.0
Big 12,SR,54.0,202.0,2861.0,14.2,19.0,12.0,109.0,9.1,1.0,214.0,2970.0,13.9,20.0,73.0,210.0,4.44,34.5,,116.0,,4.4,0.0
Pac-10,SR,48.0,259.0,3231.0,12.5,22.0,45.0,395.0,8.8,3.0,304.0,3626.0,11.9,25.0,68.0,195.0,4.3,40.5,,126.0,6.65,4.28,1824.0
Big Ten,JR,38.0,90.0,1429.0,15.9,12.0,10.0,68.0,6.8,0.0,100.0,1497.0,15.0,12.0,74.0,195.0,4.49,34.5,,120.0,6.65,4.12,3769.0
SEC,SR,48.0,77.0,1245.0,16.2,13.0,3.0,19.0,6.3,0.0,80.0,1264.0,15.8,13.0,74.0,203.0,4.32,,12.0,,,,1744.0
MWC,JR,37.0,215.0,3255.0,15.1,30.0,17.0,106.0,6.2,0.0,232.0,3361.0,14.5,30.0,73.0,200.0,4.53,34.0,17.0,120.0,6.78,4.24,1908.0
Other,Non Declared,,,,,,,,,,,,,,71.0,185.0,4.34,35.0,,122.0,6.81,4.15,2214.0
SEC,SR,47.0,207.0,2781.0,13.4,19.0,13.0,34.0,2.6,0.0,220.0,2815.0,12.8,19.0,72.0,189.0,4.37,37.0,,113.0,6.96,4.1,0.0
CUSA,SR,49.0,292.0,4138.0,14.2,60.0,3.0,-2.0,-0.7,0.0,295.0,4136.0,14.0,60.0,70.0,191.0,4.5,42.5,13.0,129.0,7.1,4.41,398.0
ACC,SR,36.0,97.0,1237.0,12.8,6.0,12.0,121.0,10.1,0.0,109.0,1358.0,12.5,6.0,72.0,211.0,4.44,,27.0,,,,0.0
Other,Non Declared,,,,,,,,,,,,,,72.0,184.0,4.4,,20.0,,,,9.0
Pac-10,SR,45.0,182.0,2756.0,15.1,17.0,10.0,19.0,1.9,0.0,192.0,2775.0,14.5,17.0,72.0,210.0,4.59,,,,,,1747.0
Other,Non Declared,,,,,,,,,,,,,,74.0,204.0,4.42,37.0,,120.0,,4.18,0.0
SEC,SR,27.0,72.0,1134.0,15.8,11.0,0.0,0.0,0.0,0.0,72.0,1134.0,15.8,11.0,72.0,199.0,4.35,31.5,,117.0,,,0.0
Big 12,SR,48.0,119.0,1710.0,14.4,17.0,5.0,25.0,5.0,0.0,124.0,1735.0,14.0,17.0,71.0,189.0,4.5,,,,,,6.0
MAC,SR,31.0,1.0,11.0,11.0,0.0,502.0,2483.0,4.9,22.0,503.0,2494.0,5.0,22.0,,,,,,,,,1770.0
Pac-10,SR,51.0,164.0,2653.0,16.2,14.0,11.0,64.0,5.8,0.0,175.0,2717.0,15.5,14.0,69.0,189.0,4.45,30.0,13.0,110.0,7.03,4.28,639.0
WAC,SR,39.0,153.0,2763.0,18.1,22.0,5.0,92.0,18.4,0.0,158.0,2855.0,18.1,22.0,76.0,218.0,4.43,32.0,9.0,116.0,7.04,4.33,32.0
Big East,SR,44.0,131.0,1646.0,12.6,13.0,2.0,9.0,4.5,0.0,133.0,1655.0,12.4,13.0,,,,,,,,,0.0
MWC,SR,42.0,116.0,1358.0,11.7,7.0,1.0,-5.0,-5.0,0.0,117.0,1353.0,11.6,7.0,,,,,,,,,0.0
Big East,SR,50.0,132.0,1931.0,14.6,16.0,19.0,63.0,3.3,0.0,151.0,1994.0,13.2,16.0,73.0,184.0,4.31,41.5,7.0,129.0,6.62,4.11,1006.0
CUSA,SR,50.0,210.0,3289.0,15.7,19.0,0.0,0.0,0.0,0.0,210.0,3289.0,15.7,19.0,71.0,192.0,4.43,,16.0,,,,2685.0
Big Ten,JR,23.0,85.0,1350.0,15.9,9.0,27.0,177.0,6.6,0.0,112.0,1527.0,13.6,9.0,74.0,216.0,4.41,28.0,,126.0,7.15,4.26,445.0
Big 12,SR,36.0,206.0,2822.0,13.7,20.0,4.0,-9.0,-2.3,0.0,210.0,2813.0,13.4,20.0,75.0,217.0,4.51,31.0,,123.0,7.03,4.35,3276.0
Big Ten,JR,33.0,191.0,2740.0,14.3,36.0,0.0,0.0,0.0,0.0,191.0,2740.0,14.3,36.0,77.0,217.0,4.45,31.5,18.0,125.0,6.84,4.2,96.0
ACC,SR,51.0,119.0,1778.0,14.9,12.0,24.0,226.0,9.4,2.0,143.0,2004.0,14.0,14.0,70.0,184.0,4.39,36.0,24.0,124.0,7.07,4.34,2341.0
Other,Non Declared,,,,,,,,,,,,,,74.0,199.0,4.42,37.5,,136.0,7.08,4.52,1278.0
Pac-10,JR,36.0,162.0,2423.0,15.0,22.0,24.0,199.0,8.3,1.0,186.0,2622.0,14.1,23.0,70.0,169.0,4.35,,,120.0,,,4785.0
Big 12,JR,39.0,144.0,2285.0,15.9,21.0,0.0,0.0,0.0,0.0,144.0,2285.0,15.9,21.0,76.0,224.0,4.68,,,,,,365.0
Big 12,SR,44.0,124.0,1915.0,15.4,20.0,1.0,4.0,4.0,0.0,125.0,1919.0,15.4,20.0,76.0,215.0,4.48,35.0,,,,,69.0
Other,Non Declared,,,,,,,,,,,,,,69.0,182.0,4.33,29.5,,122.0,6.81,4.38,0.0
SEC,JR,35.0,236.0,2852.0,12.1,20.0,20.0,44.0,2.2,0.0,256.0,2896.0,11.3,20.0,71.0,209.0,4.48,26.0,15.0,110.0,7.15,4.22,2034.0
SEC,SR,45.0,160.0,1943.0,12.1,20.0,12.0,61.0,5.1,2.0,172.0,2004.0,11.7,22.0,72.0,209.0,4.59,,,,,,1491.0
