year,round,pick,player,cfb_url,cfb_table_name,cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,combine_method,combine_draft_age,combine_ht,combine_wt,combine_forty,combine_vertical,combine_benchreps,combine_broadjump,combine_cone,nfl_url,nfl_table_name,nfl_yards_per_year
2014,7,236,Jeff Janis,cfb link is missing,cfb link is missing,,,,,,,,,,,,,,,,,,success from merge,23,75.0,219.0,4.42,37.5,20.0,123.0,6.64,https://www.pro-football-reference.com/players/J/JaniJe00.htm,receiving & rushing table,"[16.0, 79.0, 93.0, 12.0]"
2014,7,239,James Wright,https://www.sports-reference.com/cfb/players/james-wright-4.html,receiving & rushing table,LSU,SEC,SR,WR,47.0,25.0,304.0,12.2,0.0,0.0,0.0,0.0,0.0,25.0,304.0,12.2,0.0,fail from merge and from search,22,,,,,,,,https://www.pro-football-reference.com/players/W/WrigJa03.htm,receiving & rushing table,"[91.0, 106.0]"
2014,7,240,Tevin Reese,https://www.sports-reference.com/cfb/players/tevin-reese-1.html,receiving & rushing table,Baylor,Big 12,SR,WR,47.0,187.0,3102.0,16.6,24.0,11.0,136.0,12.4,0.0,198.0,3238.0,16.4,24.0,success from merge,23,70.0,163.0,4.46,41.0,,132.0,6.63,https://www.pro-football-reference.com/players/R/ReesTe00.htm,receiving & rushing table,[0.0]
2014,7,244,Jeremy Gallon,https://www.sports-reference.com/cfb/players/jeremy-gallon-1.html,receiving & rushing table,Michigan,Big Ten,SR,WR,51.0,173.0,2704.0,15.6,17.0,17.0,97.0,5.7,0.0,190.0,2801.0,14.7,17.0,success from merge,24,67.0,185.0,4.49,,15.0,,,https://www.pro-football-reference.com/players/G/GallJe00.htm,receiving & rushing table,[0.0]
2013,1,8,Tavon Austin,https://www.sports-reference.com/cfb/players/tavon-austin-1.html,receiving & rushing table,West Virginia,Big 12,SR,WR,52.0,288.0,3413.0,11.9,29.0,110.0,1033.0,9.4,6.0,398.0,4446.0,11.2,35.0,success from merge,23,68.0,174.0,4.34,32.0,14.0,120.0,,https://www.pro-football-reference.com/players/A/AustTa00.htm,receiving & rushing table,"[418.0, 242.0, 473.0, 509.0, 47.0, 140.0, 177.0]"
2013,1,27,DeAndre Hopkins,https://www.sports-reference.com/cfb/players/deandre-hopkins-1.html,receiving & rushing table,Clemson,ACC,JR,WR,39.0,206.0,3020.0,14.7,27.0,0.0,0.0,0.0,0.0,206.0,3020.0,14.7,27.0,success from merge,21,73.0,214.0,4.57,36.0,15.0,115.0,,https://www.pro-football-reference.com/players/H/HopkDe00.htm,receiving & rushing table,"[802.0, 1210.0, 1521.0, 954.0, 1378.0, 1572.0, 1165.0, 356.0]"
2013,1,29,Cordarrelle Patterson,https://www.sports-reference.com/cfb/players/cordarrelle-patterson-1.html,receiving & rushing table,Tennessee,SEC,JR,WR,12.0,46.0,778.0,16.9,5.0,25.0,308.0,12.3,3.0,71.0,1086.0,15.3,8.0,success from merge,22,74.0,216.0,4.42,37.0,,128.0,,https://www.pro-football-reference.com/players/P/PattCo00.htm,receiving & rushing table,"[469.0, 384.0, 10.0, 453.0, 309.0, 247.0, 83.0, 20.0]"
2013,2,34,Justin Hunter,https://www.sports-reference.com/cfb/players/justin-hunter-1.html,receiving & rushing table,Tennessee,SEC,JR,WR,28.0,106.0,1812.0,17.1,18.0,0.0,0.0,0.0,0.0,106.0,1812.0,17.1,18.0,success from merge,22,76.0,196.0,4.44,39.5,,136.0,,https://www.pro-football-reference.com/players/H/HuntJu00.htm,receiving & rushing table,"[354.0, 498.0, 264.0, 189.0, 23.0, 21.0]"
2013,2,41,Robert Woods,https://www.sports-reference.com/cfb/players/robert-woods-1.html,receiving & rushing table,USC,Pac-12,JR,WR,38.0,252.0,2930.0,11.6,32.0,14.0,142.0,10.1,0.0,266.0,3072.0,11.5,32.0,success from merge,21,72.0,201.0,4.51,33.5,14.0,117.0,7.15,https://www.pro-football-reference.com/players/W/WoodRo02.htm,receiving & rushing table,"[587.0, 699.0, 552.0, 613.0, 781.0, 1219.0, 1134.0, 193.0]"
2013,2,59,Aaron Dobson,https://www.sports-reference.com/cfb/players/aaron-dobson-1.html,receiving & rushing table,Marshall,CUSA,SR,WR,47.0,165.0,2398.0,14.5,24.0,3.0,19.0,6.3,0.0,168.0,2417.0,14.4,24.0,success from merge,22,75.0,210.0,4.37,,,,,https://www.pro-football-reference.com/players/D/DobsAa00.htm,receiving & rushing table,"[519.0, 38.0, 141.0]"
