cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,combine_draft_age,combine_ht,combine_wt,combine_forty,combine_vertical,combine_benchreps,combine_broadjump,combine_cone,rec_yards_ffs
Florida State,ACC,SR,WR,20.0,65.0,1257.0,19.3,10.0,0.0,0.0,0.0,0.0,65.0,1257.0,19.3,10.0,23,75.0,210.0,4.38,39.5,,128.0,6.86,3528.0
Florida,SEC,SO,WR,23.0,138.0,2375.0,17.2,27.0,0.0,0.0,0.0,0.0,138.0,2375.0,17.2,27.0,21,73.0,193.0,4.56,,,,6.87,2151.0
LSU,SEC,JR,WR,31.0,167.0,3001.0,18.0,17.0,9.0,63.0,7.0,1.0,176.0,3064.0,17.4,18.0,22,70.0,210.0,4.54,,,,,2109.0
Auburn,SEC,JR,WR,29.0,57.0,842.0,14.8,4.0,24.0,173.0,7.2,0.0,81.0,1015.0,12.5,4.0,22,72.0,190.0,4.32,39.0,,126.0,6.68,967.0
Virginia Tech,Big East,SR,WR,40.0,110.0,2094.0,19.0,19.0,12.0,137.0,11.4,4.0,122.0,2231.0,18.3,23.0,23,73.0,194.0,4.42,39.5,,123.0,6.77,1615.0
Florida,SEC,JR,WR,35.0,141.0,2088.0,14.8,18.0,13.0,91.0,7.0,0.0,154.0,2179.0,14.1,18.0,23,72.0,194.0,4.53,41.5,,130.0,7.0,1710.0
Indiana,Big Ten,SR,QB,44.0,7.0,90.0,12.9,1.0,857.0,3895.0,4.5,44.0,864.0,3985.0,4.6,45.0,23,70.0,191.0,4.49,,,,,2363.0
Pitt,Big East,JR,WR,31.0,161.0,2805.0,17.4,26.0,0.0,0.0,0.0,0.0,161.0,2805.0,17.4,26.0,21,73.0,188.0,4.57,37.0,,121.0,,3837.0
Louisville,CUSA,SR,WR,23.0,143.0,2204.0,15.4,18.0,10.0,36.0,3.6,0.0,153.0,2240.0,14.6,18.0,23,69.0,191.0,4.47,36.0,,117.0,6.71,3469.0
Michigan,Big Ten,SR,WR,44.0,161.0,2004.0,12.4,17.0,7.0,14.0,2.0,0.0,168.0,2018.0,12.0,17.0,0,,,,,,,,0.0
Utah,MWC,SR,WR,28.0,124.0,1862.0,15.0,10.0,7.0,37.0,5.3,0.0,131.0,1899.0,14.5,10.0,23,71.0,185.0,4.36,,,,,45.0
Nebraska,Big 12,SR,QB,43.0,3.0,109.0,36.3,2.0,648.0,3434.0,5.3,59.0,651.0,3543.0,5.4,61.0,0,72.0,195.0,4.47,38.0,,112.0,6.87,0.0
Minnesota,Big Ten,SR,WR,45.0,196.0,2931.0,15.0,31.0,1.0,-27.0,-27.0,0.0,197.0,2904.0,14.7,31.0,22,74.0,225.0,4.7,34.5,,118.0,7.12,126.0
,,,,,,,,,,,,,,,,,0,75.0,207.0,4.52,36.5,,122.0,7.02,0.0
Michigan State,Big Ten,SR,WR,46.0,115.0,1640.0,14.3,7.0,8.0,42.0,5.3,0.0,123.0,1682.0,13.7,7.0,24,71.0,193.0,4.45,33.0,,114.0,6.65,0.0
Alabama,SEC,SR,WR,44.0,71.0,1020.0,14.4,8.0,5.0,77.0,15.4,0.0,76.0,1097.0,14.4,8.0,23,73.0,203.0,4.47,36.5,,123.0,6.83,578.0
Akron,MAC,SR,WR,40.0,131.0,1986.0,15.2,10.0,10.0,49.0,4.9,0.0,141.0,2035.0,14.4,10.0,22,73.0,200.0,4.49,,,,,0.0
