year,round,pick,player,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,nfl url,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,combine player,combine pos,combine ht,combine wt,combine forty,combine vertical,combine benchreps,combine broadjump,combine cone,combine shuttle,combine year,combine pfr_id,combine av,combine team,combine round,combine pick,nfl method,cfb method,combine method
2001,1,16,Santana Moss,WR,22.0,NYJ,2001.0,2014.0,0,1,8,73.0,197.0,135.0,51.0,287.0,0.0,732.0,10283.0,66.0,https://www.pro-football-reference.com/players/M/MossSa00.htm,35.0,WAS,,89.0,197.0,135.0,1268.0,732.0,10283.0,14.0,66.0,495.0,78.0,3.7,52.2,0.5770000000000001,8.1,51.0,287.0,0.0,16.0,35.0,5.6,1.5,0.3,783.0,13.5,10570.0,66.0,25.0,93.0,Receiving & Rushing Table,Miami (FL),https://www.sports-reference.com/cfb/players/santana-moss-1.html,Miami (FL),Big East,SR,WR,42.0,143.0,2547.0,17.8,19.0,12.0,277.0,23.1,3.0,155.0,2824.0,18.2,22.0,Santana Moss,WR,70.0,184.0,4.31,,,,,,2001.0,MossSa00,18.0,New York Jets,1.0,16.0,success from main,success,success from merge
2001,1,25,Freddie Mitchell,WR,22.0,PHI,2001.0,2004.0,0,0,0,13.0,63.0,17.0,2.0,-4.0,0.0,90.0,1263.0,5.0,https://www.pro-football-reference.com/players/M/MitcFr00.htm,26.0,PHI,fb/wr,84.0,63.0,17.0,171.0,90.0,1263.0,14.0,5.0,63.0,60.0,1.4,20.0,0.526,7.4,2.0,-4.0,0.0,0.0,12.0,-2.0,-0.1,0.0,92.0,13.7,1259.0,5.0,1.0,14.0,Receiving & Rushing Table,UCLA,https://www.sports-reference.com/cfb/players/freddie-mitchell-1.html,UCLA,Pac-10,JR,WR,34.0,110.0,1955.0,17.8,9.0,9.0,67.0,7.4,0.0,119.0,2022.0,17.0,9.0,Freddie Mitchell,WR,71.0,185.0,4.46,39.5,,120.0,6.95,4.06,2001.0,MitcFr00,10.0,Philadelphia Eagles,1.0,25.0,success from main,success,success from merge
2001,1,30,Reggie Wayne,WR,22.0,IND,2001.0,2014.0,1,6,12,117.0,211.0,197.0,4.0,0.0,0.0,1070.0,14345.0,82.0,https://www.pro-football-reference.com/players/W/WaynRe00.htm,36.0,IND,WR,87.0,211.0,197.0,1714.0,1070.0,14345.0,13.4,82.0,763.0,80.0,5.1,68.0,0.624,8.4,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1074.0,13.4,14345.0,82.0,10.0,155.0,Receiving & Rushing Table,Miami (FL),https://www.sports-reference.com/cfb/players/reggie-wayne-1.html,Miami (FL),Big East,SR,WR,45.0,173.0,2510.0,14.5,20.0,2.0,15.0,7.5,0.0,175.0,2525.0,14.4,20.0,Reggie Wayne,WR,72.0,198.0,4.45,,,,,,2001.0,WaynRe00,20.0,Indianapolis Colts,1.0,30.0,success from main,success,success from merge
2001,2,33,Quincy Morgan,WR,23.0,CLE,2001.0,2006.0,0,0,3,20.0,86.0,52.0,10.0,53.0,0.0,164.0,2466.0,17.0,https://www.pro-football-reference.com/players/M/MorgQu00.htm,29.0,DEN,,11.0,86.0,52.0,334.0,164.0,2466.0,15.0,17.0,79.0,78.0,1.9,28.7,0.491,7.4,10.0,53.0,0.0,1.0,24.0,5.3,0.6,0.1,174.0,14.5,2519.0,17.0,7.0,22.0,Receiving & Rushing Table,Kansas St.,https://www.sports-reference.com/cfb/players/quincy-morgan-1.html,Kansas State,Big 12,SR,WR,24.0,106.0,2173.0,20.5,23.0,3.0,11.0,3.7,0.0,109.0,2184.0,20.0,23.0,Quincy Morgan,WR,73.0,211.0,4.48,,,,,,2001.0,MorgQu00,17.0,Cleveland Browns,2.0,33.0,success from main,success,success from merge
2001,2,36,Chad Johnson,WR,23.0,CIN,2001.0,2011.0,2,6,7,87.0,166.0,135.0,24.0,175.0,0.0,766.0,11059.0,67.0,https://www.pro-football-reference.com/players/J/JohnCh01.htm,33.0,NWE,wr,85.0,166.0,135.0,1372.0,766.0,11059.0,14.4,67.0,575.0,82.0,4.6,66.6,0.5579999999999999,8.1,24.0,175.0,0.0,6.0,26.0,7.3,1.1,0.1,790.0,14.2,11234.0,67.0,7.0,104.0,Receiving & Rushing Table,Oregon St.,https://www.sports-reference.com/cfb/players/chad-johnson-1.html,Oregon State,Pac-10,SR,WR,12.0,37.0,806.0,21.8,8.0,2.0,-5.0,-2.5,0.0,39.0,801.0,20.5,8.0,Chad Johnson,WR,73.0,192.0,4.57,33.0,,108.0,7.51,4.14,2001.0,JohnCh01,24.0,Cincinnati Bengals,2.0,36.0,success from main,success,success from merge
2001,2,41,Robert Ferguson,WR,21.0,GNB,2001.0,2008.0,0,0,2,18.0,83.0,34.0,1.0,-8.0,0.0,151.0,1993.0,13.0,https://www.pro-football-reference.com/players/F/FergRo00.htm,29.0,MIN,,89.0,83.0,34.0,297.0,151.0,1993.0,13.2,13.0,100.0,71.0,1.8,24.0,0.508,6.7,1.0,-8.0,0.0,0.0,0.0,-8.0,-0.1,0.0,152.0,13.1,1985.0,13.0,1.0,20.0,Receiving & Rushing Table,Texas A&M,https://www.sports-reference.com/cfb/players/robert-ferguson-1.html,Texas A&M,Big 12,JR,WR,10.0,58.0,885.0,15.3,6.0,,,,,58.0,885.0,15.3,6.0,Robert Ferguson,WR,73.0,205.0,4.48,36.5,,120.0,7.24,4.07,2001.0,FergRo00,9.0,Green Bay Packers,2.0,41.0,success from main,success,success from merge
2001,2,52,Chris Chambers,WR,23.0,MIA,2001.0,2010.0,0,1,7,57.0,153.0,127.0,44.0,373.0,0.0,540.0,7648.0,58.0,https://www.pro-football-reference.com/players/C/ChamCh00.htm,32.0,KAN,wr,84.0,153.0,127.0,1109.0,540.0,7648.0,14.2,58.0,296.0,77.0,3.5,50.0,0.487,6.9,44.0,373.0,0.0,14.0,61.0,8.5,2.4,0.3,584.0,13.7,8021.0,58.0,11.0,70.0,Receiving & Rushing Table,Wisconsin,https://www.sports-reference.com/cfb/players/chris-chambers-1.html,Wisconsin,Big Ten,SR,WR,41.0,127.0,2004.0,15.8,16.0,2.0,17.0,8.5,0.0,129.0,2021.0,15.7,16.0,Chris Chambers,WR,72.0,210.0,4.33,45.0,,134.0,,4.0,2001.0,ChamCh00,26.0,Miami Dolphins,2.0,52.0,success from main,success,success from merge
2001,3,74,Steve Smith,WR,22.0,CAR,2001.0,2016.0,2,5,13,103.0,219.0,198.0,57.0,387.0,2.0,1031.0,14731.0,81.0,https://www.pro-football-reference.com/players/S/SmitSt01.htm,37.0,BAL,WR,89.0,219.0,198.0,1748.0,1031.0,14731.0,14.3,81.0,648.0,80.0,4.7,67.3,0.59,8.4,57.0,387.0,2.0,26.0,39.0,6.8,1.8,0.3,1088.0,13.9,15118.0,83.0,33.0,139.0,Receiving & Rushing Table,Utah,https://www.sports-reference.com/cfb/players/steve-smith-3.html,Utah,MWC,SR,WR,21.0,78.0,1603.0,20.6,12.0,8.0,52.0,6.5,0.0,86.0,1655.0,19.2,12.0,Steve Smith-01,WR,69.0,184.0,4.41,38.5,,121.0,7.44,4.25,2001.0,SmitSt01,24.0,Carolina Panthers,3.0,74.0,success from main,success,success from merge
2001,3,77,Snoop Minnis,WR,24.0,KAN,2001.0,2002.0,0,0,0,5.0,15.0,11.0,,,,34.0,515.0,1.0,https://www.pro-football-reference.com/players/M/MinnMa00.htm,25.0,KAN,,81.0,15.0,11.0,71.0,34.0,515.0,15.1,1.0,24.0,56.0,2.3,34.3,0.479,7.3,,,,,,,,,34.0,15.1,515.0,1.0,0.0,5.0,Receiving & Rushing Table,Florida St.,https://www.sports-reference.com/cfb/players/snoop-minnis-1.html,Florida State,ACC,SR,WR,42.0,115.0,2098.0,18.2,17.0,2.0,6.0,3.0,0.0,117.0,2104.0,18.0,17.0,Snoop Minnis,WR,73.0,171.0,4.57,37.5,,115.0,7.06,4.07,2001.0,MinnMa00,5.0,Kansas City Chiefs,3.0,77.0,success from main,success,success from merge
2001,4,116,Milton Wynn,WR,22.0,STL,2001.0,2002.0,0,0,0,1.0,4.0,0.0,,,,4.0,69.0,0.0,https://www.pro-football-reference.com/players/W/WynnMi00.htm,24.0,BAL,,85.0,4.0,,7.0,4.0,69.0,17.3,0.0,3.0,36.0,1.0,17.3,0.5710000000000001,9.9,,,,,,,,,4.0,17.3,69.0,0.0,0.0,1.0,Receiving & Rushing Table,Washington St.,https://www.sports-reference.com/cfb/players/milton-wynn-1.html,Washington State,Pac-10,JR,WR,12.0,55.0,984.0,17.9,5.0,2.0,32.0,16.0,1.0,57.0,1016.0,17.8,6.0,,,,,,,,,,,,,,,,,success from main,success,fail after search (missing table)
