,year,round,pick,player,NFL-url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career AV,years as primary starter,games,games started,rushing attempts,rushing yards,rushing TD,receiving attemps,receiving yards,receiving td,college,link,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl AV
10,2019,3,67,Jalen Hurd,https://www.pro-football-reference.com/players/H/HurdJa00.htm,WR,23,SFO,,,0,0,0,,,,,,,,,,Baylor,https://www.sports-reference.com/cfb/players/jalen-hurd-1.html,Baylor,Big 12,SR,WR,45.0,637,2844,4.5,23,136,1438,10.6,10,773,4282,5.5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2019,3,76,Terry McLaurin,https://www.pro-football-reference.com/players/M/McLaTe00.htm,WR,23,WAS,2019,2019,0,0,1,7,14,14,,,,58,919,7,Ohio St.,https://www.sports-reference.com/cfb/players/terry-mclaurin-1.html,Ohio State,Big Ten,JR,WR,32.0,35,701,20.0,11,0,0,,0,35,701,20.0,11,24,WAS,WR,17,14,14,93,58,919,15.8,7,43,75,4.1,65.6,62.4%,9.9,,,,,,,,,58,15.8,919,7,0,7
12,2019,3,93,Miles Boykin,https://www.pro-football-reference.com/players/B/BoykMi00.htm,WR,22,BAL,2019,2019,0,0,1,3,16,11,,,,13,198,3,Notre Dame,https://www.sports-reference.com/cfb/players/miles-boykin-1.html,Notre Dame,Ind,JR,WR,13.0,59,872,14.8,8,0,0,,0,59,872,14.8,8,23,BAL,WR,80,16,11,22,13,198,15.2,3,10,50,0.8,12.4,59.1%,9.0,,,,,,,,,13,15.2,198,3,0,3
13,2019,4,103,Hakeem Butler,https://www.pro-football-reference.com/players/B/ButlHa00.htm,WR,23,ARI,,,0,0,0,,,,,,,,,,Iowa St.,https://www.sports-reference.com/cfb/players/hakeem-butler-1.html,Iowa State,Big 12,SO,WR,21.0,60,1318,22.0,9,0,0,,0,60,1318,22.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2019,4,120,Gary Jennings,https://www.pro-football-reference.com/players/J/JennGa00.htm,WR,22,SEA,2019,2019,0,0,0,0,1,0,,,,,,,West Virginia,https://www.sports-reference.com/cfb/players/gary-jennings-1.html,West Virginia,Big 12,JR,WR,34.0,54,917,17.0,13,0,0,,0,54,917,17.0,13,22,MIA,,11,1,,0,,,,,,,,,,,,,,,,,,,,,,,,
15,2019,4,126,Riley Ridley,https://www.pro-football-reference.com/players/R/RidlRi00.htm,WR,23,CHI,2019,2019,0,0,0,1,5,0,,,,6,69,0,Georgia,https://www.sports-reference.com/cfb/players/riley-ridley-1.html,Georgia,SEC,JR,WR,28.0,69,1015,14.7,13,4,46,11.5,0,73,1061,14.5,13,23,CHI,,88,5,,7,6,69,11.5,0,4,32,1.2,13.8,85.7%,9.9,,,,,,,,,6,11.5,69,0,0,1
16,2019,5,149,Hunter Renfrow,https://www.pro-football-reference.com/players/R/RenfHu00.htm,WR,23,OAK,2019,2019,0,0,0,4,13,4,,,,49,605,4,Clemson,https://www.sports-reference.com/cfb/players/hunter-renfrow-1.html,Clemson,ACC,JR,WR,38.0,49,544,11.1,1,0,0,,0,49,544,11.1,1,24,OAK,wr,13,13,4,71,49,605,12.3,4,30,65,3.8,46.5,69.0%,8.5,,,,,,,,,49,12.3,605,4,1,4
17,2019,5,171,Darius Slayton,https://www.pro-football-reference.com/players/S/SlayDa01.htm,WR,22,NYG,2019,2019,0,0,1,6,14,9,,,,48,740,8,Auburn,https://www.sports-reference.com/cfb/players/darius-slayton-1.html,Auburn,SEC,SO,WR,18.0,35,670,19.1,5,0,0,,0,35,670,19.1,5,22,NYG,WR,86,14,9,84,48,740,15.4,8,32,55,3.4,52.9,57.1%,8.8,,,,,,,,,48,15.4,740,8,0,6
18,2019,6,174,KeeSean Johnson,https://www.pro-football-reference.com/players/J/JohnKe07.htm,WR,22,ARI,2019,2019,0,0,0,2,10,4,1,3,0,21,187,1,Fresno St.,https://www.sports-reference.com/cfb/players/keesean-johnson-1.html,Fresno State,MWC,JR,WR,37.0,95,1340,14.1,8,4,14,3.5,0,99,1354,13.7,8,23,ARI,wr,19,10,4,42,21,187,8.9,1,10,31,2.1,18.7,50.0%,4.5,1,3,0,0,3,3.0,0.3,0.1,22,8.6,190,1,1,2
19,2019,6,184,Travis Fulgham,https://www.pro-football-reference.com/players/F/FulgTr00.htm,WR,23,DET,2019,2019,0,0,0,0,3,0,,,,,,,Old Dominion,https://www.sports-reference.com/cfb/players/travis-fulgham-1.html,Old Dominion,CUSA,JR,WR,27.0,63,1083,17.2,9,0,0,,0,63,1083,17.2,9,24,DET,,14,3,,0,,,,,,,,,,,,,,,,,,,,,,,,
