year,round,pick,player,nfl_url,pos,draft_age,draft_team,entry_year,last_year,first_team_all_pro_select,pro_bowl_select,years_as_primary_starter,weighted_career_av,games,games_started,rushes,rushing_yards,rushing_td,receptions,rec_yards,rec_td,college,cfb_url,cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,cfb_table_name,nfl_yards_per_year,nfl_yards,nfl_table_name
2020,5,176,K.J. Osborn,https://www.pro-football-reference.com/players/O/OsboKJ00.htm,WR,23,MIN,2020,2020,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miami (FL),https://www.sports-reference.com/cfb/players/kj-osborn-1.html,Miami (FL),ACC,SR,WR,46.0,146.0,2037.0,14.0,17.0,14.0,53.0,3.8,1.0,160.0,2090.0,13.1,18.0,receiving & rushing table,[0.0],0,receiving & rushing table
2020,6,187,Donovan Peoples-Jones,https://www.pro-football-reference.com/players/P/PeopDo00.htm,WR,21,CLE,2020,2020,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Michigan,https://www.sports-reference.com/cfb/players/donovan-peoples-jones-1.html,Michigan,Big Ten,JR,WR,37.0,103.0,1327.0,12.9,14.0,9.0,87.0,9.7,0.0,112.0,1414.0,12.6,14.0,receiving & rushing table,[0.0],0,receiving & rushing table
2020,6,200,Quez Watkins,https://www.pro-football-reference.com/players/W/WatkQu00.htm,WR,0,PHI,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southern Miss,https://www.sports-reference.com/cfb/players/quez-watkins-1.html,Southern Mississippi,CUSA,JR,WR,34.0,159.0,2404.0,15.1,17.0,5.0,12.0,2.4,0.0,164.0,2416.0,14.7,17.0,receiving & rushing table,[0.0],0,receiving & rushing table
2020,6,201,James Proche,https://www.pro-football-reference.com/players/P/ProcJa00.htm,WR,23,BAL,2020,2020,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMU,https://www.sports-reference.com/cfb/players/james-proche-1.html,SMU,American,SR,WR,49.0,301.0,3949.0,13.1,39.0,10.0,50.0,5.0,0.0,311.0,3999.0,12.9,39.0,receiving & rushing table,[0.0],0,receiving & rushing table
2020,6,207,Isaiah Hodgins,https://www.pro-football-reference.com/players/H/HodgIs00.htm,WR,0,BUF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oregon St.,https://www.sports-reference.com/cfb/players/isaiah-hodgins-1.html,Oregon State,Pac-12,JR,WR,34.0,176.0,2322.0,13.2,20.0,0.0,0.0,0.0,0.0,176.0,2322.0,13.2,20.0,receiving & rushing table,[0.0],0,receiving & rushing table
2020,6,212,Dezmon Patmon,https://www.pro-football-reference.com/players/P/PatmDe00.htm,WR,22,IND,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington St.,https://www.sports-reference.com/cfb/players/dezmon-patmon-1.html,Washington State,Pac-12,SR,WR,36.0,156.0,1976.0,12.7,13.0,0.0,0.0,0.0,0.0,156.0,1976.0,12.7,13.0,receiving & rushing table,[0.0],0,receiving & rushing table
2020,6,214,Freddie Swain,https://www.pro-football-reference.com/players/S/SwaiFr00.htm,WR,22,SEA,2020,2020,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,83.0,1.0,Florida,https://www.sports-reference.com/cfb/players/freddie-swain-1.html,Florida,SEC,SR,WR,37.0,68.0,996.0,14.6,15.0,4.0,27.0,6.8,0.0,72.0,1023.0,14.2,15.0,receiving & rushing table,[83.0],83.0,receiving & rushing table
2020,7,217,Jauan Jennings,https://www.pro-football-reference.com/players/J/JennJa00.htm,WR,0,SFO,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tennessee,https://www.sports-reference.com/cfb/players/jauan-jennings-1.html,Tennessee,SEC,SR,WR,48.0,146.0,2153.0,14.7,18.0,25.0,93.0,3.7,1.0,171.0,2246.0,13.1,19.0,receiving & rushing table,[0.0],0,receiving & rushing table
2020,7,220,K.J. Hill,https://www.pro-football-reference.com/players/H/HillKJ00.htm,WR,22,LAC,2020,2020,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,Ohio St.,https://www.sports-reference.com/cfb/players/kj-hill-1.html,Ohio State,Big Ten,SR,WR,50.0,201.0,2332.0,11.6,20.0,4.0,-1.0,-0.3,0.0,205.0,2331.0,11.4,20.0,receiving & rushing table,[15.0],15.0,receiving & rushing table webdriver
2020,7,252,Tyrie Cleveland,https://www.pro-football-reference.com/players/C/ClevTy00.htm,WR,22,DEN,2020,2020,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,Florida,https://www.sports-reference.com/cfb/players/tyrie-cleveland-1.html,Florida,SEC,SR,WR,40.0,79.0,1271.0,16.1,8.0,2.0,6.0,3.0,0.0,81.0,1277.0,15.8,8.0,receiving & rushing table,[7.0],7.0,receiving & rushing table
