year,round,pick,player,nfl url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,cfb method,nfl method
1996,5,135,Joe Horn,https://www.pro-football-reference.com/players/H/HornJo00.htm,WR,24.0,KAN,1996.0,2007.0,0,4,8,69.0,163.0,114.0,14.0,54.0,0.0,603.0,8744.0,58.0,Itawamba JC,https://www.sports-reference.com/cfb/players/joe-horn-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,35,ATL,WR,87,163,114,1051,603,8744,14.5,58,435,76,3.7,53.6,57.4%,8.3,14,54,0,2,16,3.9,0.3,0.1,617,14.3,8798,58,9,81,Receiving & Rushing Table,fail (eg link broken),success from main
1996,5,136,Mercury Hayes,https://www.pro-football-reference.com/players/H/HayeMe21.htm,WR,23.0,NOR,1996.0,1997.0,0,0,0,1.0,13.0,0.0,2.0,7.0,0.0,4.0,101.0,0.0,Michigan,https://www.sports-reference.com/cfb/players/mercury-hayes-1.html,Michigan,Big Ten,,WR,48.0,122,2109,17.3,12,20,182,9.1,0,142,2291,16.1,12,,NOR,,89,13,,11,4,101,25.3,0,4,50,0.3,7.8,36.4%,9.2,2,7,0,1,5,3.5,0.5,0.2,6,18.0,108,0,1,1,Receiving & Rushing Table,success,success from main
1996,5,153,Jermaine Lewis,https://www.pro-football-reference.com/players/L/LewiJe00.htm,WR,21.0,BAL,1996.0,2004.0,1,2,2,22.0,111.0,32.0,30.0,148.0,0.0,143.0,2129.0,17.0,Maryland,https://www.sports-reference.com/cfb/players/jermaine-lewis-3.html,Maryland,ACC,,WR,39.0,193,2932,15.2,21,17,63,3.7,2,210,2995,14.3,23,30,JAX,,84,111,32,269,143,2129,14.9,17,89,73,1.3,19.2,53.2%,7.9,30,148,0,7,24,4.9,1.3,0.3,173,13.2,2277,17,17,,Receiving & Rushing Table,success,success from main1
1996,5,159,Patrick Jeffers,https://www.pro-football-reference.com/players/J/JeffPa00.htm,WR,23.0,DEN,1996.0,2001.0,0,0,1,17.0,46.0,11.0,2.0,16.0,0.0,98.0,1563.0,14.0,Virginia,https://www.sports-reference.com/cfb/players/patrick-jeffers-1.html,Virginia,ACC,,WR,39.0,108,1785,16.5,15,1,-1,-1.0,0,109,1784,16.4,15,28,CAR,,83,46,11,175,98,1563,15.9,14,63,88,2.1,34.0,56.0%,8.9,2,16,0,1,23,8.0,0.3,0.0,100,15.8,1579,14,0,17,Receiving & Rushing Table,success,success from main
1996,5,160,Iheanyi Uwaezuoke,https://www.pro-football-reference.com/players/U/UwaeIh00.htm,WR,23.0,SFO,1996.0,2000.0,0,0,0,5.0,60.0,2.0,,,,29.0,374.0,1.0,California,https://www.sports-reference.com/cfb/players/iheanyi-uwaezuoke-1.html,California,Pac-10,,WR,46.0,112,1651,14.7,10,1,19,19.0,0,113,1670,14.8,10,27,CAR,wr,89,60,2,55,29,374,12.9,1,16,35,0.5,6.2,52.7%,6.8,,,,,,,,,29,12.9,374,1,5,,Receiving & Rushing Table,success,success from main1
1996,5,165,Terry Guess,https://www.pro-football-reference.com/players/G/GuesTe00.htm,WR,21.0,NOR,1996.0,1996.0,0,0,0,1.0,3.0,2.0,2.0,-4.0,0.0,2.0,69.0,1.0,Gardner-Webb,https://www.sports-reference.com/cfb/players/terry-guess-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,22,NOR,wr,18,3,2,7,2,69,34.5,1,2,57,0.7,23.0,28.6%,9.9,2,-4,0,0,-1,-2.0,-1.3,0.7,4,16.3,65,1,0,1,Receiving & Rushing Table,fail (eg link broken),success from main
1996,6,176,Dietrich Jells,https://www.pro-football-reference.com/players/J/JellDi00.htm,WR,24.0,KAN,1996.0,1999.0,0,0,0,1.0,41.0,4.0,2.0,9.0,0.0,14.0,247.0,2.0,Pittsburgh,https://www.sports-reference.com/cfb/players/dietrich-jells-1.html,Pitt,Big East,,WR,46.0,160,3003,18.8,25,25,69,2.8,0,185,3072,16.6,25,27,PHI,wr,83,41,4,44,14,247,17.6,2,8,57,0.3,6.0,31.8%,5.6,2,9,0,1,13,4.5,0.2,0.0,16,16.0,256,2,0,1,Receiving & Rushing Table,success,success from main
1996,6,180,Nilo Silvan,https://www.pro-football-reference.com/players/S/SilvNi20.htm,WR,22.0,TAM,1996.0,1996.0,0,0,0,0.0,7.0,0.0,,,,,,,Tennessee,https://www.sports-reference.com/cfb/players/nilo-silvan-1.html,Tennessee,SEC,,WR,44.0,28,691,24.7,0,21,409,19.5,1,,,,,23,TAM,KR/PR,87,7,,14,113,0,17,8.1,28,626,0,54,22.4,739,0,,,,,,,,,,,,,,Kick & Punt Returns Table,success,fail after main1
1996,6,185,Chris Doering,https://www.pro-football-reference.com/players/D/DoerCh00.htm,WR,23.0,JAX,1996.0,2004.0,0,0,0,3.0,40.0,3.0,,,,42.0,476.0,3.0,Florida,https://www.sports-reference.com/cfb/players/chris-doering-1.html,Florida,SEC,,WR,40.0,149,2107,14.1,31,,,,,149,2107,14.1,31,31,PIT,,83,40,3,80,42,476,11.3,3,31,53,1.1,11.9,52.5%,6.0,,,,,,,,,42,11.3,476,3,1,3,Receiving & Rushing Table,success,success from main
1996,6,186,James Roe,https://www.pro-football-reference.com/players/R/RoexJa00.htm,WR,23.0,BAL,1996.0,1998.0,0,0,0,2.0,23.0,7.0,,,,15.0,239.0,1.0,Norfolk St.,https://www.sports-reference.com/cfb/players/james-roe-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,25,BAL,wr,83,23,7,29,15,239,15.9,1,11,29,0.7,10.4,51.7%,8.2,,,,,,,,,15,15.9,239,1,1,,Receiving & Rushing Table,fail (eg link broken),success from main1
1996,6,199,Phillip Riley,https://www.pro-football-reference.com/players/R/RilePh20.htm,WR,23.0,PHI,1996.0,1996.0,0,0,0,0.0,1.0,0.0,,,,,,,Florida St.,https://www.sports-reference.com/cfb/players/phillip-riley-1.html,Florida State,ACC,,WR,34.0,38,433,11.4,5,9,84,9.3,0,47,517,11.0,5,24,NYJ,,89,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,Games Table,success,success from main
1996,6,204,Toderick Malone,nfl link is missing,WR,,NOR,,,0,0,0,,,,,,,,,,Alabama,https://www.sports-reference.com/cfb/players/toderick-malone-1.html,Alabama,SEC,,WR,35.0,73,1368,18.7,11,8,104,13.0,1,81,1472,18.2,12,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
1996,7,217,Donnell Baker,nfl link is missing,WR,,CAR,,,0,0,0,,,,,,,,,,Southern,https://www.sports-reference.com/cfb/players/donnell-baker-1.html,Louisiana,Big West,,WR,22.0,2,15,7.5,0,1,-3,-3.0,0,3,12,4.0,0,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
